,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation
91,91,"(66, 67)",0.0353119405819673,0.0643595964755459,0.0079365079365079,0.0262070545301318,0.0702830846464928,0.0079365079365079,23,19,0,24,26
92,92,"(49, 60)",0.0037021057893442,0.061931678545097,0.0079365079365079,0.0081624522512181,0.0657791699295223,0.0079365079365079,53,53,1,53,53
93,93,"(60, 61)",0.0017910167924368,0.0630709548241772,0.0059523809523809,0.0041320175728274,0.0671373384840815,0.0059523809523809,7,6,1,7,7
94,94,"(62, 63)",0.0161353303575341,0.0606571187868576,0.0059523809523809,0.0146632981914079,0.0660983606557377,0.0059523809523809,3,3,0,6,7
95,95,"(63, 50)",0.0259287229014349,0.0595181861124232,0.0079365079365079,0.01569780060723,0.0644007155635062,0.0079365079365079,52,52,0,52,54
96,96,"(65, 68)",0.0885656827070248,0.0649819494584837,0.0079365079365079,0.0485641730933082,0.0769818237360623,0.0079365079365079,43,50,0,6,108
97,97,"(68, 69)",0.0825344301054326,0.0610687022900763,0.0059523809523809,0.0543642374914056,0.0796208530805687,0.0059523809523809,18,18,1,12,18
98,98,"(69, 70)",0.0020987387495481,0.0576,0.0059523809523809,0.0080263498853149,0.0753250635181587,0.0059523809523809,8,8,0,2,8
99,99,"(70, 61)",0.0191776500516346,0.0667815025838081,0.0059523809523809,0.0351565833380672,0.0736303871439006,0.0059523809523809,65,60,0,65,65
100,100,"(61, 62)",0.0229567384146482,0.064516129032258,0.0079365079365079,0.0330305643289125,0.0694789081885856,0.0079365079365079,8,8,0,8,8
101,101,"(62, 57)",0.0048333364865373,0.0606863335340156,0.0039682539682539,0.0094502200724014,0.0651920838183934,0.0039682539682539,60,49,0,59,60
102,102,"(57, 58)",0.0075727090192924,0.0581314878892733,0.0059523809523809,0.0064282222601499,0.0615534929164631,0.0059523809523809,7,7,1,7,7
103,103,"(53, 56)",0.0012569666064175,0.0559006211180124,0.0079365079365079,0.0044931510198278,0.0587823652904128,0.0079365079365079,110,110,0,110,110
104,104,"(56, 57)",0.0007513009621785,0.0569169960474308,0.0059523809523809,0.0024451654768002,0.0599215313280228,0.0059523809523809,16,16,1,16,16
105,105,"(59, 54)",0.0174856988756477,0.0540077153879125,0.0059523809523809,0.0037529010526771,0.0574162679425837,0.0059523809523809,110,109,0,110,110
106,106,"(58, 59)",0.0075727090192924,0.0549798189156757,0.0039682539682539,0.0018637235042426,0.0587070471753057,0.0039682539682539,15,12,0,16,16
107,107,"(68, 71)",0.0040431810310159,0.061053906723198,0.0059523809523809,0.0065924224860417,0.0729377713458755,0.0059523809523809,8,6,0,6,8
108,108,"(71, 60)",0.0153015561885332,0.0654545454545454,0.0079365079365079,0.0251892628677037,0.0714285714285714,0.0079365079365079,65,65,0,65,65
109,109,"(60, 63)",0.0172126451854406,0.063055173276617,0.0079365079365079,0.0201333819023181,0.0674247491638796,0.0079365079365079,8,8,0,8,8
110,110,"(63, 56)",0.0074192526415399,0.0595463137996219,0.0079365079365079,0.0125124392251077,0.0634600856207504,0.0079365079365079,59,60,0,60,60
111,111,"(56, 59)",0.0079249182857789,0.0569041436152196,0.0059523809523809,0.0053940880214656,0.0599500416319733,0.0059523809523809,8,8,0,8,8
112,112,"(48, 67)",0.0771753642919504,0.0540598519789767,0.0079365079365079,0.0367527987710344,0.0674698795180722,0.0079365079365079,17,26,0,123,128
113,113,"(66, 49)",0.0270725827394452,0.0643924875431199,0.0079365079365079,0.0335541361325784,0.0698157639562266,0.0079365079365079,129,130,0,130,130
114,114,"(65, 66)",0.0269628981040876,0.0649651972157772,0.0079365079365079,0.0299884235613302,0.0724762726488352,0.0079365079365079,18,17,0,18,18
115,115,"(67, 64)",0.0881898152165248,0.0619164619164619,0.0079365079365079,0.0361511415026159,0.0710960643250105,0.0079365079365079,18,16,0,15,18
