Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
164,"(121, 122)",0.009784171013225257,0.06832045546970313,0.007936507936507936,0.008681975185598038,0.0797847079309799,0.007936507936507936
165,"(122, 123)",0.0014690860881573743,0.06400812801625604,0.003968253968253968,0.0014906113953206766,0.07794618001855862,0.003968253968253968
166,"(123, 124)",0.013313846246336474,0.06818181818181818,0.007936507936507936,0.009928898215764348,0.07807900852052672,0.007936507936507936
167,"(124, 125)",0.013942531869963193,0.07059812298641266,0.005952380952380952,0.008989371203373574,0.07904642409033877,0.005952380952380952
168,"(122, 130)",0.006327013354491344,0.06397562833206398,0.005952380952380952,0.0074891982883391744,0.08012718600953896,0.005952380952380952
169,"(130, 131)",0.016214757937634963,0.06818181818181818,0.007936507936507936,0.01570697042619059,0.08125100757697888,0.007936507936507936
170,"(132, 133)",0.02089477789003448,0.0687960687960688,0.007936507936507936,0.011347523151554493,0.0797847079309799,0.007936507936507936
171,"(133, 123)",0.009856688587602566,0.07044025157232704,0.005952380952380952,0.00691671728927692,0.07738369415016122,0.005952380952380952
172,"(131, 156)",0.017749455647069954,0.06414662084765177,0.007936507936507936,0.022035584805156976,0.08208469055374593,0.007936507936507936
173,"(156, 157)",0.028715537463052377,0.0687960687960688,0.007936507936507936,0.03353823185358201,0.08334711427153961,0.007936507936507936
174,"(157, 160)",0.0478732245604227,0.07291666666666667,0.007936507936507936,0.04165544942080562,0.08610968733982573,0.007936507936507936
175,"(160, 161)",0.017527802760158608,0.07102593010146561,0.007936507936507936,0.013383827914532258,0.083072358661612,0.007936507936507936
176,"(162, 163)",0.02781061983370143,0.06864614546445111,0.007936507936507936,0.0150212080869544,0.0825147347740668,0.007936507936507936
177,"(163, 158)",0.028634531240543874,0.06925931015528378,0.007936507936507936,0.016347054763935182,0.08165910563836681,0.007936507936507936
178,"(158, 159)",0.03799026700551268,0.07102593010146561,0.007936507936507936,0.020173709174425795,0.08215158924205379,0.007936507936507936
179,"(159, 132)",0.029014257228949104,0.07131739068911844,0.007936507936507936,0.017044825184325613,0.08047261695673,0.007936507936507936
180,"(161, 176)",0.010175981150136218,0.07093596059113301,0.007936507936507936,0.010875276678872668,0.0826907301066448,0.007936507936507936
181,"(176, 177)",0.006611184049369752,0.06864614546445111,0.005952380952380952,0.00884210119287034,0.07968379446640317,0.005952380952380952
182,"(178, 179)",0.01781015033157735,0.06671078755790867,0.005952380952380952,0.008710681974610892,0.08036995694466592,0.005952380952380952
183,"(179, 162)",0.019027747119206316,0.06906001644286106,0.007936507936507936,0.010912085615331442,0.08030592734225621,0.007936507936507936
184,"(126, 127)",0.06000578789795863,0.06872102536133079,0.007936507936507936,0.04907671973850558,0.08114635324424409,0.007936507936507936
185,"(127, 164)",0.0607358372156485,0.07044025157232704,0.007936507936507936,0.05053093839400597,0.08163265306122448,0.007936507936507936
186,"(164, 165)",0.053237763517158435,0.06844106463878327,0.007936507936507936,0.046295935533545676,0.08201790073230268,0.007936507936507936
187,"(165, 168)",0.05897848453496707,0.07131739068911844,0.007936507936507936,0.05203306719997943,0.083223249669749,0.007936507936507936
188,"(168, 169)",0.04586869842922807,0.06907894736842106,0.007936507936507936,0.043854674127345415,0.08025477707006369,0.007936507936507936
189,"(169, 172)",0.0483303487670147,0.06925931015528378,0.007936507936507936,0.05100540868374548,0.07998730360260276,0.007936507936507936
190,"(172, 173)",0.04244576631919244,0.06696784480467712,0.007936507936507936,0.04867141721582257,0.07709958696649839,0.007936507936507936
191,"(174, 175)",0.08294535945443206,0.0666049953746531,0.007936507936507936,0.053860467682571536,0.07657247037374658,0.007936507936507936
192,"(175, 170)",0.03917976040801788,0.0625,0.003968253968253968,0.03674555733073473,0.07642153146322972,0.003968253968253968
193,"(170, 171)",0.05119049350007452,0.06696784480467712,0.007936507936507936,0.044482796415591365,0.07856586126266563,0.007936507936507936
194,"(171, 166)",0.041126472861998165,0.06281939424155553,0.003968253968253968,0.04044320018549454,0.07801857585139318,0.003968253968253968
195,"(166, 167)",0.0552506834506028,0.06907894736842106,0.007936507936507936,0.04902250443563243,0.0787746170678337,0.007936507936507936
196,"(167, 128)",0.045903616729328946,0.0646734248684717,0.003968253968253968,0.045660018478512296,0.07783783783783783,0.003968253968253968
197,"(128, 129)",0.05950872884844234,0.06844106463878327,0.007936507936507936,0.053635205035131014,0.07766990291262135,0.007936507936507936
198,"(173, 202)",0.07450863601460021,0.0690978886756238,0.005952380952380952,0.09557112004257955,0.07621351882655376,0.005952380952380952
199,"(202, 203)",0.07793648163926493,0.0666049953746531,0.007936507936507936,0.09331100766263471,0.07210300429184549,0.007936507936507936
200,"(203, 206)",0.06577137702883228,0.0625,0.003968253968253968,0.08135433775573317,0.06841319397312338,0.003968253968253968
201,"(206, 207)",0.0692978373147359,0.060453400503778336,0.007936507936507936,0.08012840093104424,0.06519208381839348,0.007936507936507936
202,"(208, 209)",0.06472764884615213,0.055421156806685724,0.007936507936507936,0.04124313886563119,0.06242259103294526,0.007936507936507936
203,"(209, 204)",0.0612011885602485,0.05254926493587739,0.003968253968253968,0.04145244875347581,0.06534422403733955,0.003968253968253968
204,"(204, 205)",0.07336629317068113,0.060453400503778336,0.007936507936507936,0.0467112503024107,0.06867420629513557,0.007936507936507936
205,"(205, 174)",0.06993844754601644,0.05705229793977813,0.003968253968253968,0.045773606023714344,0.07236180904522613,0.003968253968253968
206,"(207, 210)",0.05732207285388199,0.05705229793977813,0.003968253968253968,0.06967086770814046,0.06228373702422145,0.003968253968253968
207,"(210, 211)",0.06103787328936433,0.055421156806685724,0.007936507936507936,0.0687620314559451,0.05970856533586068,0.007936507936507936
208,"(212, 213)",0.05646768482078053,0.05135520684736091,0.007936507936507936,0.035172639556551,0.05742935278030994,0.007936507936507936
209,"(213, 208)",0.052751884385298195,0.048879837067209775,0.003968253968253968,0.036036590327549224,0.059793569818483806,0.003968253968253968
210,"(175, 172)",0.041777527475837725,0.06246901338621715,0.005952380952380952,0.018164671395890373,0.07722954336500153,0.005952380952380952
