Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
78,"(15, 12)",0.011234743754716503,0.02029039150697377,0.0024875621890547263,0.009576297879881937,0.022858225928733888,0.0024875621890547263
79,"(12, 367)",0.02454027694629665,0.020305765086206896,0.0024875621890547263,0.021242700202516587,0.02334991964994482,0.0024875621890547263
80,"(367, 366)",0.02454027694629665,0.019907231640283258,0.001658374792703151,0.02251764938930965,0.02384247360721205,0.001658374792703151
81,"(366, 365)",0.02454027694629665,0.019524040796503158,0.001658374792703151,0.023997112378650595,0.024360191488072395,0.001658374792703151
82,"(365, 364)",0.02454027694629665,0.019155323305643356,0.001658374792703151,0.02548758532512155,0.024905005782256733,0.001658374792703151
83,"(364, 363)",0.024540276946296645,0.018800274365529713,0.001658374792703151,0.02698906822872242,0.025479052669384997,0.001658374792703151
84,"(363, 24)",0.024540276946296638,0.018458147757013637,0.0024875621890547263,0.029667960292898376,0.02608469957174374,0.0024875621890547263
85,"(24, 25)",0.02857015062997599,0.023316062176165803,0.003316749585406302,0.03433862439617576,0.026638393744615997,0.003316749585406302
86,"(25, 382)",0.04704657899988302,0.02377385270462072,0.0024875621890547263,0.04577804275715237,0.027226549271926855,0.0024875621890547263
87,"(382, 383)",0.04704657899988302,0.023227595770497485,0.001658374792703151,0.04562562385093602,0.027704394569387333,0.001658374792703151
88,"(386, 385)",0.03146347561409174,0.024462970851335728,0.001658374792703151,0.026668397675413468,0.027201371346084444,0.001658374792703151
89,"(385, 26)",0.031463475614091733,0.023884971876732948,0.0024875621890547263,0.02571010711041695,0.026700318809776833,0.0024875621890547263
90,"(26, 27)",0.0428375697527864,0.02427633962719916,0.003316749585406302,0.029330537415395982,0.02637045459515011,0.003316749585406302
91,"(27, 362)",0.025108843627763555,0.02377619620290598,0.0024875621890547263,0.019829427392864793,0.02577088274889416,0.0024875621890547263
92,"(362, 361)",0.025108843627763555,0.023231622746185853,0.001658374792703151,0.017974139591122016,0.02517955570402539,0.001658374792703151
93,"(361, 360)",0.025108843627763555,0.022711436696107416,0.001658374792703151,0.0164726566875211,0.024618776410067978,0.001658374792703151
94,"(360, 359)",0.025108843627763573,0.022214035734020997,0.001658374792703151,0.01498218374105015,0.02408627920910725,0.001658374792703151
95,"(359, 358)",0.025108843627763573,0.021737954901854754,0.001658374792703151,0.01350272075170916,0.023580017597028057,0.001658374792703151
96,"(358, 13)",0.025108843627763573,0.021281852191713135,0.0024875621890547263,0.012118515703113928,0.023098138358997933,0.0024875621890547263
97,"(13, 14)",0.018948193564221307,0.021119731012381137,0.0024875621890547263,0.007301864956707477,0.022623670437278406,0.0024875621890547263
98,"(11, 9)",0.01844933928788524,0.02097646670029395,0.0024875621890547263,0.020909433393755405,0.026603136787770498,0.0024875621890547263
99,"(9, 374)",0.0400095615318259,0.022804628999319263,0.0024875621890547263,0.027874654223919663,0.026769661050809083,0.0024875621890547263
100,"(374, 375)",0.04000956153182591,0.022308133404857475,0.001658374792703151,0.027262649494837116,0.02673701946525961,0.001658374792703151
101,"(375, 376)",0.04000956153182592,0.021832796263441832,0.001658374792703151,0.027244900175743984,0.02673109318201968,0.001658374792703151
102,"(376, 377)",0.040009561531825916,0.021377293273065673,0.001658374792703151,0.027300047645567146,0.026753033563299985,0.001658374792703151
103,"(377, 25)",0.04000956153182592,0.020940408390054174,0.0024875621890547263,0.028486777722281066,0.026890831252229755,0.0024875621890547263
104,"(25, 26)",0.021533133161918724,0.023769167093697034,0.003316749585406302,0.017294099381037802,0.02660607130250618,0.003316749585406302
105,"(26, 373)",0.010159039023224408,0.024281227349601354,0.0024875621890547263,0.008530540519926624,0.026485702991171433,0.0024875621890547263
106,"(373, 372)",0.010159039023224424,0.023711684787951475,0.001658374792703151,0.006355951580753111,0.02623107708369584,0.001658374792703151
107,"(372, 371)",0.010159039023224431,0.02316824835747493,0.001658374792703151,0.005984006671944463,0.026079058904939018,0.001658374792703151
108,"(370, 369)",0.005484924714502962,0.022135344969990638,0.001658374792703151,0.004715087319400931,0.025500063432993613,0.001658374792703151
109,"(369, 368)",0.005484924714502962,0.021661038867734753,0.001658374792703151,0.005112143548659317,0.025659574468085106,0.001658374792703151
110,"(368, 27)",0.0054849247145029615,0.021206632787634738,0.0024875621890547263,0.006242020752612747,0.02584378013500482,0.0024875621890547263
111,"(27, 24)",0.02321365083952566,0.023769635571673532,0.003316749585406302,0.015080613300744738,0.02624820441387716,0.003316749585406302
112,"(24, 378)",0.019183777155846318,0.023327788309025495,0.0024875621890547263,0.013759014376276177,0.025974025974025976,0.0024875621890547263
113,"(378, 379)",0.019183777155846314,0.022808510638297873,0.001658374792703151,0.012982913054518338,0.025847657422092673,0.001658374792703151
114,"(379, 380)",0.019183777155846314,0.022311847850218308,0.001658374792703151,0.012924631495471973,0.02582938896147009,0.001658374792703151
115,"(380, 381)",0.019183777155846314,0.021836354089337123,0.001658374792703151,0.012938371810663938,0.025836029049465498,0.001658374792703151
116,"(381, 8)",0.019183777155846314,0.02138070418040634,0.001658374792703151,0.013058612772643087,0.025867616146883446,0.001658374792703151
117,"(8, 10)",0.028394523791501463,0.023934745073133944,0.0024875621890547263,0.016936072706293225,0.026039642440730666,0.0024875621890547263
118,"(16, 17)",0.008649697570240086,0.019755917765582765,0.0024875621890547263,0.0029462246194599567,0.022273113434048683,0.0024875621890547263
119,"(17, 348)",0.016986758232810123,0.020261756354899952,0.0024875621890547263,0.008412072103348838,0.022756863855080668,0.0024875621890547263
120,"(348, 349)",0.016986758232810123,0.01986493164223357,0.001658374792703151,0.009791399551330663,0.023224464643352333,0.001658374792703151
121,"(349, 350)",0.016986758232810123,0.019483351911985653,0.001658374792703151,0.011270862540671655,0.023715415019762844,0.001658374792703151
