,0
1100,36
1101,14
1102,38
1103,44
1104,34
1105,32
1106,18
1107,36
1108,34
1109,36
1110,8
1111,16
1112,6
1113,48
1114,12
1115,46
1116,6
1117,14
1118,6
1119,36
1120,34
1121,38
1122,10
1123,10
1124,11
1125,12
1126,12
1127,12
1128,15
1129,28
1130,18
1131,58
1132,56
1133,70
1134,44
1135,42
1136,46
1137,34
1138,24
1139,36
1140,54
1141,62
1142,20
1143,24
1144,12
1145,50
1146,10
1147,24
1148,12
1149,48
1150,16
1151,16
1152,20
1153,18
1154,18
1155,30
1156,32
1157,12
1158,54
1159,12
1160,20
1161,10
1162,46
1163,12
1164,16
1165,15
1166,15
1167,15
1168,16
1169,16
1170,17
1171,16
1172,40
1173,38
1174,38
1175,8
1176,20
1177,18
1178,64
1179,12
1180,34
1181,36
1182,12
1183,64
1184,16
1185,16
1186,12
1187,38
1188,38
1189,18
1190,30
1191,16
1192,15
1193,17
1194,16
1195,15
1196,17
1197,46
1198,42
1199,46
1200,46
1201,50
1202,46
1203,40
1204,40
1205,10
1206,9
