Nodo,BC,CC,DC,DiBC,DiCC,DiDC
138,0.09057607647252106,0.03990451561567535,0.003988035892323031,0.08532119465367627,0.03280887115239933,0.003988035892323031
139,0.05769798058425628,0.03983478295404901,0.002991026919242273,0.05697530640799625,0.03181097367586426,0.002991026919242273
140,0.09681809022419019,0.03974008478941321,0.003988035892323031,0.11040482438817446,0.033585587998928475,0.003988035892323031
141,0.04179517103630161,0.039670925127556066,0.002991026919242273,0.05697530640799625,0.032852931542744844,0.002991026919242273
142,0.06565597633464947,0.03807318554509566,0.003988035892323031,0.07687624280987906,0.03322072072072072,0.003988035892323031
143,0.07619073574462472,0.03871391076115486,0.003988035892323031,0.10845539023191672,0.033673537903713156,0.003988035892323031
144,0.06943813304133267,0.03792347247428917,0.003988035892323031,0.07884468876940556,0.032406061193499404,0.003988035892323031
145,0.08296268634913594,0.0385591265569737,0.003988035892323031,0.13353901996641446,0.03286584966249426,0.003988035892323031
146,0.03657050453376886,0.03311542525092446,0.002991026919242273,0.05663806508428331,0.029474859678509508,0.002991026919242273
147,0.051291673361195764,0.03395281134694154,0.003988035892323031,0.061581314416222874,0.028466013906626935,0.003988035892323031
148,0.04470897752723447,0.032806724887973045,0.002991026919242273,0.05663806508428329,0.02784177654406662,0.002991026919242273
149,0.04913224935741954,0.033628377925300074,0.003988035892323031,0.0635497603757495,0.028512948801773887,0.003988035892323031
150,0.04780868485850955,0.03626043888507285,0.002991026919242273,0.056576098664802614,0.025835200783040982,0.002991026919242273
151,0.06322364277187859,0.036841138659320476,0.003988035892323031,0.12449131278854686,0.031191690508769746,0.003988035892323031
152,0.048483511146397,0.03575120299411869,0.002991026919242273,0.048423271458059344,0.031079573624194348,0.002991026919242273
153,0.06763473304695661,0.03631557985444803,0.003988035892323031,0.11633848558180347,0.030606328766287265,0.003988035892323031
154,0.09227586597347227,0.03736959761549925,0.003988035892323031,0.09072790226843044,0.03227155727155727,0.003988035892323031
155,0.11152378841515419,0.037279316112246795,0.004985044865403788,0.04841769282459181,0.028087370484458134,0.004985044865403788
156,0.03777259466160543,0.034152819395260145,0.003988035892323031,0.05059186569177532,0.029336063176367357,0.003988035892323031
157,0.04624647951611612,0.034376392363848235,0.003988035892323031,0.07058863585302241,0.0299286843911318,0.003988035892323031
158,0.03305015253448628,0.034116806694105245,0.003988035892323031,0.06418692348448009,0.029593131325052372,0.003988035892323031
159,0.034546715897175215,0.03390116947204759,0.003988035892323031,0.06496761771013834,0.029748487365049234,0.003988035892323031
160,0.038409668035284436,0.034291770658825944,0.003988035892323031,0.055947874938060124,0.029228348292341763,0.003988035892323031
161,0.031790474600210776,0.03414351851851852,0.003988035892323031,0.030136820971651757,0.028862478777589132,0.003988035892323031
162,0.025001234232310647,0.033880556681529526,0.003988035892323031,0.04520356589418865,0.028410378427373668,0.003988035892323031
163,0.026371257331826933,0.0340311471516303,0.003988035892323031,0.04954616256951778,0.028648139156265174,0.003988035892323031
164,0.05160186508831325,0.03283679816663938,0.003988035892323031,0.06258840150966194,0.029029550519521868,0.003988035892323031
165,0.05239406213133011,0.032934918237341564,0.003988035892323031,0.061807707284002984,0.029395387005070193,0.003988035892323031
166,0.028794305537910642,0.032230077120822626,0.002991026919242273,0.04550957904728932,0.028992628992628992,0.002991026919242273
167,0.03028388761941115,0.03213610586011342,0.002991026919242273,0.04550957904728931,0.028178114903778622,0.002991026919242273
168,0.05360511149706087,0.03280350601779173,0.003988035892323031,0.061909284502731816,0.02863178327766835,0.003988035892323031
169,0.06041478063085597,0.03262531307940019,0.003988035892323031,0.05756668782740273,0.028333333333333332,0.003988035892323031
170,0.027593786047154022,0.03193352223884874,0.002991026919242273,0.045611156266018055,0.027946503204235165,0.002991026919242273
171,0.027597286478454993,0.032104218679982074,0.002991026919242273,0.04561115626601806,0.027188940092165898,0.002991026919242273
172,0.06366301421092055,0.03151115300031417,0.003988035892323031,0.07361853703218835,0.027420854065285143,0.003988035892323031
173,0.08220258878537,0.030930060441593684,0.003988035892323031,0.06485898259977223,0.027989395842053857,0.003988035892323031
174,0.026249571059520516,0.030307608629963137,0.002991026919242273,0.06166300547080363,0.027443362153879828,0.002991026919242273
