Nodo,BC,CC,DC,DiBC,DiCC,DiDC
20,0.01408350436810746,0.06769300430156215,0.013377926421404682,0.023691731136288995,0.05966872879664738,0.013377926421404682
21,0.030769586170834376,0.07192687033918692,0.013377926421404682,0.03070561118651253,0.06321353065539112,0.013377926421404682
22,0.016107124049396883,0.06905311778290993,0.010033444816053512,0.015614458005762374,0.06409431939978563,0.010033444816053512
23,0.007337590443302158,0.06514161220043573,0.010033444816053512,0.015614458005762397,0.06027010683329974,0.010033444816053512
24,0.024441887184138186,0.07237956911159525,0.013377926421404682,0.03612428083539842,0.06268343815513627,0.013377926421404682
25,0.0765224449014027,0.07724102299147508,0.013377926421404682,0.04622383161364936,0.06864095500459137,0.013377926421404682
26,0.045729490958864326,0.07366346390736635,0.013377926421404682,0.03811781769413782,0.06695029108822212,0.013377926421404682
27,0.01754858099181872,0.06922898819171104,0.013377926421404682,0.031103937643914358,0.06321353065539112,0.013377926421404682
28,0.02293239616545604,0.07583058584833882,0.010033444816053512,0.026153453786326983,0.06695029108822212,0.010033444816053512
29,0.01358510407637748,0.07583058584833882,0.010033444816053512,0.026153453786326986,0.0627887442251155,0.010033444816053512
30,0.019101158851097866,0.07237956911159525,0.013377926421404682,0.023435805689845792,0.06526959179218511,0.013377926421404682
31,0.030022868701039287,0.07237956911159525,0.013377926421404682,0.018047439866815448,0.062278691939179336,0.013377926421404682
32,0.036376739483651395,0.07095396298054106,0.013377926421404682,0.043167217035191656,0.06409431939978563,0.013377926421404682
33,0.0317226426753232,0.07103825136612021,0.013377926421404682,0.04855558285822182,0.062278691939179336,0.013377926421404682
34,0.04359602131719956,0.06824925816023739,0.013377926421404682,0.039423518833669506,0.06305356389708984,0.013377926421404682
35,0.034837956428851784,0.06817145462836298,0.013377926421404682,0.02807606385444141,0.05963302752293578,0.013377926421404682
36,0.012701470569451215,0.06413556413556414,0.010033444816053512,0.009617335295771244,0.05114608279165241,0.010033444816053512
37,0.02409255747834255,0.06420442344857204,0.013377926421404682,0.020964790274999485,0.05963302752293578,0.013377926421404682
38,0.008085968554498441,0.06080943664836282,0.010033444816053512,0.009617335295771245,0.056909021697754095,0.010033444816053512
39,0.0020859739577072647,0.06074766355140187,0.006688963210702341,0.009617335295771245,0.05387387387387387,0.006688963210702341
40,0.007575600951546943,0.0609085353432471,0.010033444816053512,0.019790961671932485,0.056909021697754095,0.010033444816053512
41,0.009163302267610762,0.06182795698924731,0.010033444816053512,0.019790961671932485,0.05387387387387387,0.010033444816053512
42,0.011235279430232899,0.058673469387755105,0.013377926421404682,0.01414690843321094,0.05500367917586461,0.013377926421404682
43,0.01111874599262073,0.057844844263880826,0.013377926421404682,0.008443506692704241,0.05227272727272727,0.013377926421404682
44,0.005791935953303994,0.05491276400367309,0.010033444816053512,0.006986375165540616,0.04544072948328268,0.010033444816053512
45,0.008317648629564236,0.05565897244973939,0.013377926421404682,0.012689776906047322,0.05227272727272727,0.013377926421404682
46,0.0021076884045889885,0.05282685512367491,0.010033444816053512,0.006986375165540616,0.04993319973279893,0.010033444816053512
47,0.0002951207648902498,0.05215419501133787,0.006688963210702341,0.006986375165540616,0.04758115849777212,0.006688963210702341
48,0.0364900890751787,0.06557017543859649,0.013377926421404682,0.07276016464811329,0.05500367917586461,0.013377926421404682
49,0.03760441745174999,0.06814038286235187,0.013377926421404682,0.024311001314899897,0.06326703343207787,0.013377926421404682
50,0.02735389760488749,0.06432874354561102,0.013377926421404682,0.045420380580649816,0.059728326008789454,0.013377926421404682
51,0.025426145955964825,0.06203319502074689,0.013377926421404682,0.0671161114093915,0.056952380952380956,0.013377926421404682
52,0.014975919309519328,0.058673469387755105,0.013377926421404682,0.031976461433712675,0.04993319973279893,0.013377926421404682
53,0.0156795149922397,0.060722989439480096,0.013377926421404682,0.010280730604970858,0.056952380952380956,0.013377926421404682
54,0.0039496710368052395,0.057367613200306984,0.010033444816053512,0.026273059693205918,0.05406871609403255,0.010033444816053512
55,0.00402997089537619,0.05553491827637444,0.010033444816053512,0.02627305969320588,0.05132166151733608,0.010033444816053512
56,0.014411459911008818,0.06234361968306922,0.013377926421404682,0.006582833511083653,0.05812597200622084,0.013377926421404682
57,0.01132873313039677,0.06471861471861472,0.010033444816053512,0.00547955106068808,0.05951433121019108,0.010033444816053512
58,0.0014143523857382695,0.06092094539527303,0.006688963210702341,0.005479551060688057,0.056245297215951846,0.006688963210702341
59,0.003077816053296033,0.05881195908733281,0.010033444816053512,0.014204509541442638,0.055105049760412826,0.010033444816053512
60,0.04205368436870675,0.07018779342723004,0.013377926421404682,0.015219490822114237,0.06460674157303371,0.013377926421404682
61,0.04933288014047868,0.07321253672869736,0.010033444816053512,0.020989056886516266,0.0662677304964539,0.010033444816053512
62,0.025496656877785448,0.06883057090239411,0.010033444816053512,0.020989056886516273,0.062239800166527894,0.010033444816053512
63,0.027523928270902852,0.0661504424778761,0.013377926421404682,0.02983274760283025,0.06089613034623218,0.013377926421404682
64,0.036758004822626776,0.07229206963249517,0.013377926421404682,0.11313137796712781,0.06305356389708984,0.013377926421404682
65,0.036607388172336656,0.07542885973763874,0.013377926421404682,0.10452530513665055,0.06637069922308546,0.013377926421404682
66,0.05077451429456513,0.07229206963249517,0.013377926421404682,0.05555015060936219,0.06588805641251652,0.013377926421404682
67,0.050676274998088695,0.06940575673166202,0.013377926421404682,0.10399931394257551,0.06326703343207787,0.013377926421404682
68,0.03340914611109593,0.07794577685088634,0.010033444816053512,0.07970124053904439,0.06230464680141696,0.010033444816053512
69,0.064345055046584,0.08169398907103825,0.010033444816053512,0.07568755244217087,0.05873109408760558,0.010033444816053512
70,0.1071051641421116,0.07802713987473904,0.013377926421404682,0.06381410626886735,0.0687672493100276,0.013377926421404682
71,0.06225682136849084,0.07460079840319361,0.013377926421404682,0.045592861554666214,0.06719101123595506,0.013377926421404682
72,0.032111206119759234,0.07718120805369127,0.013377926421404682,0.0570044554257591,0.06526959179218511,0.013377926421404682
73,0.037601910317666916,0.08076715289032955,0.010033444816053512,0.045680734498800654,0.07273169545122841,0.010033444816053512
74,0.022722684947964925,0.07686375321336761,0.010033444816053512,0.04568073449880066,0.06784660766961652,0.010033444816053512
75,0.025933950636719747,0.07360905957656327,0.013377926421404682,0.05428680732927795,0.06637069922308546,0.013377926421404682
76,0.027218228308046526,0.08223322332233224,0.010033444816053512,0.07228180947541896,0.06784660766961652,0.010033444816053512
77,0.06998014063914658,0.08631639722863742,0.013377926421404682,0.07898757922827497,0.07246728065923412,0.013377926421404682
78,0.06843112909947947,0.08479863868406126,0.013377926421404682,0.060958088548460396,0.07337423312883436,0.013377926421404682
79,0.024966778221728943,0.08085451595457004,0.010033444816053512,0.07228180947541896,0.07273169545122841,0.010033444816053512
80,0.030869216904172114,0.08344962322076473,0.013377926421404682,0.050178925041947216,0.0715311004784689,0.013377926421404682
81,0.040536567720641535,0.08765757842274993,0.013377926421404682,0.06839456437201191,0.07613954672778202,0.013377926421404682
82,0.05231216978548497,0.086266589728794,0.013377926421404682,0.0627016763937569,0.0727670966171818,0.013377926421404682
83,0.05245842496064268,0.08218801539307312,0.013377926421404682,0.0559959066409009,0.07246728065923412,0.013377926421404682
84,0.0098249524873828,0.08475056689342404,0.010033444816053512,0.02217843434651139,0.07610078900483584,0.013377926421404682
85,0.029844578275524974,0.08909415971394517,0.013377926421404682,0.040394073676575826,0.07778355879292403,0.016722408026755852
86,0.0040999465992570365,0.08225584594222833,0.010033444816053512,0.02051490480145281,0.0730872647274505,0.013377926421404682
