,Unnamed: 0.1,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
341,341,341,341,"(154, 180)",0.066466774321432,0.0785291368027422,0.0079365079365079,0.0668240203188853,0.0911887099692419,0.0079365079365079,8,10,0,1,150,11.44726,9.439944358247285,0.2014643173223911,0.8030762321769395
342,342,342,342,"(180, 181)",0.0476344537051722,0.0770053475935828,0.0079365079365079,0.043794554790626,0.0880349344978165,0.0079365079365079,16,15,0,0,16,13.6298,14.175699534535338,0.2558532464397779,2.1369334979978296
343,343,343,343,"(182, 183)",0.0502338956270777,0.0715502555366269,0.0079365079365079,0.0345669232820136,0.0842386762493732,0.0079365079365079,15,10,0,9,16,16.16774,12.400139104381788,0.2917370665379354,1.841660117510572
344,344,344,344,"(183, 155)",0.0428450431614601,0.0714488233626311,0.0099206349206349,0.0400436807952704,0.086094977792962,0.0099206349206349,9,14,1,13,152,15.85286,13.354716173559469,0.275484753399308,2.686538677444706
345,345,345,345,"(152, 184)",0.0415479619363459,0.0730646564221513,0.0079365079365079,0.0525002765359606,0.0879888268156424,0.0079365079365079,16,8,0,8,152,20.89306,12.200470814830668,0.5887842947944324,3.415815276374387
346,346,346,346,"(184, 185)",0.0488463963009547,0.0717437722419928,0.0079365079365079,0.0759907322017173,0.0851063829787234,0.0079365079365079,11,9,0,2,16,18.15066,10.539564496281631,0.3444363987448708,2.8132929156842934
347,347,347,347,"(186, 187)",0.0328712795237177,0.0672987047669915,0.0079365079365079,0.0264367895711474,0.0877742946708464,0.0079365079365079,6,5,0,0,18,17.29092,6.781766625648708,0.3148282243141041,1.3632723326222822
348,348,348,348,"(187, 153)",0.0403560130916014,0.0749888409462877,0.0079365079365079,0.0359808578868883,0.0899839314408141,0.0079365079365079,6,8,0,7,154,15.50932,8.8804237333476,0.2728296725400274,1.3492758504546984
349,349,349,349,"(185, 186)",0.0423366797201172,0.0703517587939698,0.0079365079365079,0.0448693206917502,0.0859188544152744,0.0079365079365079,6,6,0,2,17,18.48704,9.438071799261676,0.3474937645828305,2.0510085700385465
350,350,350,350,"(186, 181)",0.0305326317023988,0.0672987047669915,0.0079365079365079,0.0323718798553982,0.0838881491344873,0.0079365079365079,17,18,1,0,29,17.2953,13.743512920657,0.3134604553865958,2.276935743422776
351,351,351,351,"(181, 182)",0.0538750647121779,0.0749665327978581,0.0079365079365079,0.0536989255445365,0.0855687606112054,0.0079365079365079,14,15,0,13,15,15.4923,13.098871114440104,0.277335264301231,2.910594663373377
352,352,352,352,"(183, 180)",0.0573981627024147,0.0714488233626311,0.0079365079365079,0.0321902157524976,0.0866128200721773,0.0079365079365079,11,15,0,2,15,15.81956,12.414263549301802,0.286426904819374,2.238277010590921
353,353,353,353,"(180, 187)",0.0762304833186746,0.077028885832187,0.0079365079365079,0.0508859652598005,0.090354965937612,0.0079365079365079,12,10,0,0,32,13.68034,10.938901075383876,0.2350148845442111,1.3068373189626137
354,354,354,354,"(187, 184)",0.0687457497507909,0.0749665327978581,0.0079365079365079,0.0570160448039639,0.0885764499121265,0.0079365079365079,9,10,1,0,16,15.45014,8.956449628163288,0.2808753721136053,1.353953819093597
355,355,355,355,"(148, 196)",0.0770584226722397,0.0664819944598338,0.0039682539682539,0.0893393435895684,0.0835405271009448,0.0039682539682539,8,4,0,2,496,18.26508,8.099887646460864,0.3128167994207096,0.9073013734515925
356,356,356,356,"(196, 197)",0.1063563877164415,0.0711261642675698,0.0079365079365079,0.1035586079950526,0.0828130134735458,0.0079365079365079,16,12,1,0,22,28.30054,13.470440318870043,0.7394802478075468,3.514202312787695
357,357,357,357,"(197, 274)",0.074109969810765,0.0664732260617251,0.0039682539682539,0.0901399240092825,0.0782122905027933,0.0039682539682539,28,12,0,0,116,14.0928,12.235942432186611,0.2268887279748974,0.839003031323678
358,358,358,358,"(274, 275)",0.0798690660271177,0.0655993752440453,0.0079365079365079,0.0921139562049493,0.0742049469964664,0.0079365079365079,16,15,0,7,16,29.63556,13.976031244984217,0.8810041033067825,4.785299951349126
359,359,359,359,"(275, 278)",0.0648244133085088,0.0616740088105726,0.0039682539682539,0.0829971940292451,0.0705190989226248,0.0039682539682539,10,11,0,0,68,14.83314,6.98475201968862,0.2537613645506477,0.7286029714456794
360,360,360,360,"(277, 276)",0.0792911747203852,0.0401913875598086,0.0039682539682539,0.0535579253634946,0.0708960472640315,0.0039682539682539,36,8,0,11,68,16.29406,11.72548285270986,0.2978517982138547,1.9020994723251372
361,361,361,361,"(276, 273)",0.0943358274389942,0.0605114659623004,0.0079365079365079,0.0635074737947884,0.0747552654998516,0.0079365079365079,16,16,0,16,16,31.15162,13.603499010218822,1.8126156569313705,6.595898357097414
362,362,362,362,"(273, 200)",0.0885767312226415,0.0571104815864022,0.0059523809523809,0.0638494152558893,0.078823897403816,0.0059523809523809,7,4,0,0,46,15.61592,6.793108982932963,0.2714619036125191,0.8067437595898357
363,363,363,363,"(200, 198)",0.0617189718829877,0.0540714515609913,0.0059523809523809,0.0364229424265624,0.0813034360380706,0.0059523809523809,1,2,0,0,78,7.79984,3.4089668824567974,0.1157776168637863,0.2828112720332323
364,364,364,364,"(198, 201)",0.0680335031543258,0.0649149922720247,0.0079365079365079,0.0410142216883435,0.0836514522821576,0.0079365079365079,2,4,0,0,18,10.94018,4.796212080680541,0.1745112237509051,0.4443321731971109
365,365,365,365,"(201, 195)",0.0675537663070797,0.0680621201890614,0.0059523809523809,0.044475670000069,0.0865236051502146,0.0059523809523809,6,4,0,1,14,10.0647,5.083248622331603,0.1565693137018263,0.4606489278095879
366,366,366,366,"(200, 199)",0.0248696877690771,0.0541004723057106,0.0039682539682539,0.0310735183453858,0.0790216368767638,0.0039682539682539,1,2,0,0,80,7.81986,3.414103044245894,0.1165821868211441,0.2873769694247969
367,367,367,367,"(197, 198)",0.0302583463351001,0.066429418742586,0.0059523809523809,0.0134803287823388,0.0820846905537459,0.0059523809523809,9,9,0,3,9,14.15398,6.001872558985608,0.2307506637702148,0.6403951947906141
368,368,368,368,"(198, 199)",0.023943815063762,0.0649651972157772,0.0059523809523809,0.0149391795149476,0.0810419681620839,0.0059523809523809,6,5,0,2,11,10.9527,4.674816756727837,0.1785340735376941,0.4404775270386587
369,369,369,369,"(199, 185)",0.0508015744034157,0.061787421846267,0.0079365079365079,0.0513916428958145,0.0830176247735134,0.0079365079365079,9,7,0,1,81,18.79656,8.518110320475095,0.357148604071124,1.6043935481456533
370,370,370,370,"(184, 194)",0.0614473153861822,0.0717744232412418,0.0079365079365079,0.0604730922451219,0.0874241110147441,0.0079365079365079,10,6,0,2,85,18.18958,10.809159488523887,0.33454018826937,1.9019123535795817
371,371,371,371,"(194, 195)",0.0326290871892263,0.0670212765957446,0.0039682539682539,0.0453121797137517,0.0871519972332699,0.0039682539682539,5,4,0,0,14,9.08484,5.424214862768177,0.1367768927508247,0.4741589012387261
