,conection,lanes,Largo,/2023-03-29_07-30.png,/2023-03-30_08-30.png,/2023-03-31_09-30.png,/2023-04-02_06-45.png,/2023-04-03_08-00.png,/2023-04-04_16-45.png,/2023-04-05_17-45.png,/2023-04-06_18-45.png,/2023-04-07_21-15.png,/2023-04-08_22-45.png,/2023-04-10_01-45.png,/2023-04-11_02-45.png,/2023-04-12_07-45.png,/2023-04-13_08-45.png,/2023-04-14_14-45.png,/2023-04-16_09-15.png,/2023-04-17_10-30.png,/2023-04-18_12-30.png,/2023-04-22_14-00.png,/2023-04-23_15-45.png,/2023-04-24_16-45.png,/2023-04-25_18-15.png,/2023-04-26_19-15.png,/2023-05-02_11-00.png,/2023-05-05_16-00.png,/2023-05-10_04-45.png,/2023-05-11_05-45.png,/2023-05-23_14-30.png,/2023-05-25_05-15.png,/2023-05-31_16-30.png
995,"(126, 127)",2,4.629479485602485,106,84,127,63,127,63,63,106,42,42,42,31,42,42,106,63,63,106,84,84,63,106,106,63,127,31,106,84,84,42
996,"(127, 755)",2,7.567698049635051,127,127,191,63,191,63,127,127,63,63,63,0,63,63,191,63,63,191,127,63,127,127,127,127,191,63,191,127,127,63
997,"(755, 756)",2,9.359828530661959,63,127,191,31,191,63,63,63,63,63,63,0,63,63,95,63,31,95,127,63,63,63,63,63,191,63,169,127,127,63
998,"(756, 757)",2,10.200245912163831,31,63,31,31,63,31,31,31,31,31,31,63,63,31,31,31,63,31,63,31,63,31,31,31,95,31,95,95,31,31
999,"(757, 164)",2,9.903091648625066,106,84,42,63,106,42,42,42,42,42,42,63,63,84,63,42,63,42,63,42,63,42,42,42,106,42,42,127,42,63
1000,"(164, 165)",2,2.303316353966055,255,127,63,127,191,63,63,63,63,63,63,63,63,191,127,63,63,63,63,63,63,63,63,63,127,63,63,191,63,127
1001,"(165, 876)",2,7.818520601504533,255,148,105,127,191,105,84,105,63,63,63,0,84,212,148,63,0,63,84,63,84,84,84,105,148,63,63,191,63,148
1002,"(876, 168)",2,8.336422481620835,255,191,191,42,191,191,127,191,63,63,63,0,127,255,191,63,0,63,127,63,127,127,127,191,191,63,63,191,63,191
1003,"(168, 169)",2,2.303316353966055,255,191,191,63,191,191,127,191,63,63,63,31,127,255,191,63,31,63,127,63,127,127,127,191,191,63,63,191,63,191
1004,"(169, 874)",2,13.094131935777899,212,191,105,63,42,42,42,42,63,63,63,42,42,127,42,63,42,63,42,63,42,42,42,42,84,63,63,148,63,42
1005,"(874, 872)",2,14.68753247024584,191,191,63,105,105,63,63,63,63,63,0,63,191,63,63,63,63,63,63,63,63,63,63,63,84,0,63,127,63,63
1006,"(872, 172)",2,10.659981177795931,127,191,63,127,212,84,63,63,63,63,0,63,255,127,127,63,63,84,63,127,63,63,63,63,148,0,63,127,63,84
1007,"(172, 173)",2,5.087174800032554,191,191,63,127,255,127,63,63,63,63,0,63,255,191,191,63,63,127,63,191,63,63,63,63,191,0,63,127,63,127
1008,"(173, 202)",2,8.434763633669643,0,0,63,0,0,0,0,63,63,63,0,63,0,0,0,63,63,0,63,0,63,63,63,63,0,0,63,0,0,0
1009,"(205, 174)",2,8.713355558820275,42,42,42,42,84,84,127,84,42,42,84,42,84,42,84,42,42,42,42,84,84,42,42,42,127,0,0,84,0,84
1010,"(174, 175)",2,4.467599659525547,63,63,63,63,127,127,191,127,63,63,127,63,127,63,127,63,63,63,63,127,127,63,63,63,191,0,0,127,0,127
1011,"(175, 871)",2,11.068150470391698,0,31,31,31,0,0,0,31,31,31,0,31,31,31,31,31,31,0,0,0,31,31,0,0,0,0,0,63,0,0
1012,"(871, 873)",2,15.032067809123625,84,63,63,63,63,63,95,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,31,127,0,0,127,0,63
1013,"(873, 170)",2,13.631271982975301,127,63,63,63,42,127,84,63,63,63,170,0,63,63,63,63,63,31,42,42,84,63,42,84,191,0,42,31,0,127
1014,"(170, 171)",2,2.9278889735636713,127,63,63,63,63,191,127,63,63,63,255,0,63,63,63,63,63,0,63,63,127,63,63,127,191,0,63,0,0,191
1015,"(171, 875)",2,7.297532170764883,127,63,63,63,105,191,212,105,63,63,127,0,63,63,105,63,63,42,105,63,169,105,148,84,191,0,63,42,0,233
1016,"(875, 166)",2,7.4695955157534035,127,63,63,63,127,191,255,127,63,63,63,0,63,63,127,63,63,63,127,63,191,127,191,63,191,0,63,63,0,255
1017,"(166, 167)",2,3.436197356421246,63,31,42,42,63,127,170,84,42,42,42,0,42,42,84,42,42,31,63,42,127,84,95,42,127,0,42,31,0,127
1018,"(167, 758)",2,8.879512999655681,31,63,63,63,127,191,255,127,63,63,63,0,63,63,127,63,63,63,31,63,223,127,31,63,191,0,63,63,0,63
1019,"(758, 759)",2,9.985710327802847,31,63,31,31,127,95,127,63,31,31,31,0,31,31,63,31,31,63,31,31,127,63,31,31,95,0,31,63,0,63
1020,"(759, 760)",2,9.775508388732412,63,63,63,63,95,127,127,95,95,63,31,0,31,31,95,31,31,95,63,95,127,95,95,63,95,0,31,63,0,95
1021,"(760, 128)",2,7.259228860075223,63,63,63,63,95,127,127,95,127,63,31,0,31,31,95,31,31,95,63,127,170,95,95,63,95,0,31,63,0,95
1022,"(128, 129)",2,4.730978991515229,0,0,0,0,0,0,0,0,191,63,31,0,31,31,0,31,0,0,0,127,255,0,0,63,0,0,84,0,0,0
1023,"(129, 705)",2,7.259228860075219,42,42,42,42,31,84,31,31,84,84,42,42,42,42,31,42,63,63,42,31,31,31,31,84,42,0,127,31,0,31
1024,"(705, 704)",2,9.98902875835503,63,63,63,63,63,159,95,95,127,127,63,63,63,63,63,63,42,31,63,106,95,63,95,127,63,0,42,63,0,95
1025,"(704, 703)",2,11.460992446760908,63,63,84,63,42,42,42,84,105,42,63,63,63,63,42,63,63,84,63,84,63,42,42,127,84,0,63,42,0,42
1026,"(132, 719)",1,9.882286295824235,84,42,127,63,63,63,42,63,63,63,0,0,127,63,42,63,84,127,63,63,42,42,42,63,42,0,0,63,0,42
1027,"(719, 718)",1,7.673524843613842,63,63,31,63,63,31,63,31,63,63,0,0,31,63,63,63,63,31,63,63,63,63,63,63,63,0,0,31,0,63
1028,"(718, 717)",1,10.302622716719931,105,148,63,63,63,105,105,105,63,63,0,0,63,63,63,63,105,63,105,63,63,63,105,63,105,0,0,63,0,105
1029,"(717, 127)",1,9.565306972501018,105,169,127,84,127,127,148,148,63,84,31,0,84,63,127,84,127,148,127,84,84,105,127,105,148,31,95,105,63,105
1030,"(127, 128)",1,4.5208194545641875,127,127,191,63,191,63,127,127,127,63,63,0,63,63,191,63,63,191,127,127,191,127,127,127,191,63,191,127,127,63
1031,"(129, 126)",1,4.624704363665882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
1032,"(126, 716)",1,9.173853134406144,31,31,31,31,31,63,95,63,31,31,0,0,31,31,31,31,31,63,63,31,31,31,31,31,31,0,0,63,0,31
1033,"(716, 715)",1,8.51430908925098,63,63,63,63,63,127,191,127,63,63,0,0,63,63,63,63,63,127,127,63,63,63,63,63,63,0,0,127,0,63
1034,"(715, 714)",1,10.62048060197272,84,63,63,0,63,105,42,127,63,63,0,0,84,63,63,63,63,42,42,63,84,63,63,84,63,0,0,105,0,63
1035,"(714, 133)",1,9.149736759525373,127,63,63,0,63,63,63,127,63,63,0,0,127,63,63,63,63,63,63,63,127,63,63,127,63,0,0,63,0,63
1036,"(202, 203)",2,2.4150019542059002,31,31,42,31,31,31,42,42,42,42,31,42,31,31,31,42,42,31,42,31,42,42,42,42,31,0,42,42,0,31
1037,"(203, 206)",2,11.619058799192503,42,42,63,42,42,42,84,63,63,63,42,63,42,42,42,63,63,42,63,42,63,63,63,63,42,0,63,63,0,63
1038,"(206, 207)",2,3.369173307139183,63,63,63,63,63,63,127,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,127
1039,"(207, 870)",2,9.38391106031301,42,42,63,42,42,42,84,63,63,63,42,63,42,42,42,63,63,42,63,42,63,63,63,63,42,0,63,63,0,42
1040,"(870, 868)",2,13.077573131941888,63,84,63,63,63,63,105,63,63,63,63,63,84,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,105
1041,"(868, 866)",2,13.296527721294169,63,127,63,63,63,63,63,63,63,63,63,63,127,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,127
1042,"(866, 864)",2,11.45139744003305,0,0,0,0,127,0,0,31,31,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,0,0,0,0,0
1043,"(864, 210)",2,12.857050139822556,84,170,42,84,255,127,42,63,63,63,42,42,127,127,127,63,84,84,127,84,127,84,84,84,63,0,42,84,0,127
1044,"(210, 211)",2,3.5002295028783297,127,159,63,127,159,127,63,63,63,63,63,95,159,127,127,63,127,127,127,127,159,127,127,127,63,0,95,127,0,159
1045,"(211, 862)",2,12.429492308765798,31,31,63,31,31,31,31,31,31,31,0,63,63,31,31,31,63,31,31,31,63,95,63,95,31,0,63,63,0,63
1046,"(862, 860)",2,13.348992304564849,31,31,31,31,31,31,31,42,42,42,0,31,31,31,31,42,31,31,31,31,31,31,31,31,42,0,31,31,0,31
1047,"(859, 861)",2,13.048506287721134,63,63,63,63,63,191,95,63,63,63,63,63,63,127,63,63,63,63,63,63,95,63,63,95,127,0,0,63,0,255
